,M1,M2,Interest_Rate,Inflation,Unemployment_Rate,Manufacturing_Production,Mortgage_Rate,GDP,Consumer Price Index,DFF
2020-01-01,3977.6,15401.3,,257.971,3.6,101.3372,,21727.657,259.127,1.55
2020-02-01,3979.6,15453.8,,258.678,3.5,101.6718,,21727.657,259.25,1.59
2020-03-01,4260.9,15980.6,,258.115,4.4,97.606,,21727.657,258.076,1.58
2020-04-01,4788.8,16999.0,0.62,256.389,14.8,84.6812,,19935.444,256.032,0.06
2020-05-01,16245.5,17868.4,0.64,256.394,13.2,86.0108,,19935.444,255.802,0.05
2020-06-01,16574.1,18161.5,0.66,257.797,11.0,91.6745,,19935.444,257.042,0.05
2020-07-01,16774.5,18311.4,0.69,259.101,10.2,95.0037,,21684.551,258.352,0.08
2020-08-01,16898.8,18382.2,0.69,259.918,8.4,95.9294,,21684.551,259.316,0.1
2020-09-01,17170.5,18606.8,0.68,260.28,7.8,95.8914,,21684.551,259.997,0.09
2020-10-01,17365.7,18758.1,0.68,260.388,6.9,96.5256,2.88,22068.767,260.319,0.09
2020-11-01,17612.9,18973.3,0.68,260.229,6.7,96.9529,2.88,22068.767,260.911,0.09
2020-12-01,17803.0,19110.3,0.92,260.474,6.7,98.2039,2.88,22068.767,262.045,0.09
2021-01-01,18063.1,19335.0,0.92,261.582,6.4,98.8135,2.88,22656.793,262.639,0.09
2021-02-01,18322.3,19571.2,1.09,263.014,6.2,95.5072,2.88,22656.793,263.573,0.08
2021-03-01,18595.7,19810.0,1.45,264.877,6.1,98.1929,2.88,22656.793,264.847,0.07
2021-04-01,18943.9,20133.3,1.69,267.054,6.1,98.3317,3.18,23368.861,266.625,0.07
2021-05-01,19264.7,20437.8,1.69,269.195,5.8,99.1867,3.18,23368.861,268.404,0.05
2021-06-01,19326.6,20482.0,1.62,271.696,5.9,99.6483,3.18,23368.861,270.71,0.06
2021-07-01,19493.7,20633.7,1.48,273.003,5.4,100.0668,2.98,23921.991,271.965,0.1
2021-08-01,19720.9,20844.5,1.48,273.567,5.1,100.0412,2.98,23921.991,272.752,0.07
2021-09-01,19863.1,20974.0,1.31,274.31,4.7,98.9955,2.98,23921.991,273.942,0.08
2021-10-01,20056.8,21153.9,1.48,276.589,4.5,100.3542,2.98,24777.038,276.528,0.08
2021-11-01,20246.2,21327.7,1.58,277.948,4.2,101.2684,2.98,24777.038,278.824,0.08
2021-12-01,20435.9,21508.0,1.43,278.802,3.9,101.1948,2.98,24777.038,280.806,0.08
2022-01-01,20500.7,21566.6,1.43,281.148,4.0,101.2146,2.98,25215.491,282.542,0.07
2022-02-01,20577.4,21621.3,1.81,283.716,3.8,101.8458,2.98,25215.491,284.525,0.08
2022-03-01,20686.8,21723.5,1.72,287.504,3.7,102.6732,2.98,25215.491,287.467,0.08
2022-04-01,20703.9,21724.3,2.39,289.109,3.7,102.9024,2.98,25805.791,288.582,0.33
2022-05-01,20676.4,21698.0,2.39,292.296,3.6,102.9659,2.98,25805.791,291.299,0.33
2022-06-01,20602.7,21653.6,2.94,296.311,3.6,102.8224,2.98,25805.791,295.072,0.83
2022-07-01,20535.5,21645.8,2.88,296.276,3.5,103.0505,2.98,26272.011,294.94,1.58
2022-08-01,20456.1,21627.9,2.6,296.171,3.6,103.1703,2.98,26272.011,295.162,2.33
2022-09-01,20270.1,21509.0,3.26,296.808,3.5,103.5326,5.66,26272.011,296.421,2.33
2022-10-01,20101.7,21434.4,3.26,298.012,3.6,103.4442,5.66,26734.277,297.979,3.08
2022-11-01,19931.8,21368.1,4.07,297.711,3.6,103.1058,5.66,26734.277,298.708,3.08
2022-12-01,19724.5,21273.9,3.53,296.797,3.5,101.8266,6.49,26734.277,298.808,3.83
2023-01-01,19512.4,21189.1,3.53,299.17,3.5,102.7476,6.49,27164.359,300.456,4.33
2023-02-01,19320.3,21120.1,3.39,300.84,3.6,102.8003,6.49,27164.359,301.476,4.33
2023-03-01,18927.0,20874.8,4.01,301.836,3.5,102.8143,6.49,27164.359,301.643,4.58
2023-04-01,18606.7,20718.2,4.01,303.363,3.4,103.2241,6.49,27453.815,302.858,4.83
2023-05-01,18555.3,20812.5,3.59,304.127,3.6,102.9809,6.49,27453.815,303.316,4.83
2023-06-01,18444.6,20797.6,3.61,305.109,3.6,102.3809,6.79,27453.815,304.099,5.08
2023-07-01,18341.3,20773.4,3.61,305.691,3.5,103.0722,6.79,27967.697,304.615,5.08
2023-08-01,18230.8,20750.2,4.05,307.026,3.7,103.0951,6.79,27967.697,306.138,5.33
2023-09-01,18109.3,20700.1,4.18,307.789,3.8,103.3081,6.79,27967.697,307.374,5.33
2023-10-01,18027.5,20688.1,4.18,307.671,3.9,102.5781,6.79,28296.967,307.653,5.33
2023-11-01,17966.0,20706.2,4.77,307.051,3.7,102.8868,6.79,28296.967,308.087,5.33
2023-12-01,17969.8,20759.3,4.22,306.746,3.8,102.6309,6.79,28296.967,308.735,5.33
2024-01-01,17933.7,20760.4,4.22,308.417,3.7,101.483,6.79,28624.069,309.794,5.33
2024-02-01,17922.9,20800.7,3.87,310.326,3.9,102.7267,6.63,28624.069,311.022,5.33
2024-03-01,17989.7,20905.6,4.19,312.332,3.9,102.5186,6.63,28624.069,312.107,5.33
2024-04-01,17975.8,20931.6,4.33,313.548,3.9,102.3568,6.63,29016.714,313.016,5.33
2024-05-01,18011.9,21013.0,4.63,314.069,4.0,102.9797,6.63,29016.714,313.14,5.33
2024-06-01,18046.8,21079.2,4.63,314.175,4.1,103.2534,6.63,29016.714,313.131,5.33
2024-07-01,18029.2,21093.6,4.48,314.54,4.2,102.5192,6.63,29374.914,313.566,5.33
2024-08-01,18086.8,21182.5,3.99,314.796,4.2,103.0196,6.73,29374.914,314.131,5.33
2024-09-01,18138.9,21252.4,3.99,315.301,4.1,102.5873,6.73,29374.914,314.851,5.33
2024-10-01,18219.5,21332.7,3.74,315.664,4.1,102.1219,6.73,29719.647,315.564,4.83
2024-11-01,18347.1,21465.8,4.37,315.493,4.2,101.9736,6.73,29719.647,316.449,4.83
2024-12-01,18433.9,21549.3,4.37,315.605,4.1,102.9833,6.73,29719.647,317.603,4.58
