,date,text
0,2021-01-27,"The company benefited from a jump in sales of electric cars in China and Europe, but its fourth quarter earnings fell short of Wall Street’s expectations. Tesla Has First Profitable Year, but Competition Is Growing"
1,2021-01-19,"Rivian, which has raised another $2.65 billion, plans to sell a pickup truck and S.U.V. it has worked on for more than a decade. The Next Tesla? Investors Bet Big on Electric Truck Maker Rivian"
2,2021-01-15,"Traditional automakers have struggled to sell electric cars. That could change as Ford, Volkswagen and others introduce new models. Tesla Might Finally Have Some Competition. From Ford."
3,2021-01-22,"The pandemic dampened sales for all automakers in the spring and summer, and Tesla’s plant in Fremont, Calif., was idled from late March until the middle of May. Tesla’s U.S. sales slowed in 22 states in 2020, partly because of the pandemic."
4,2021-01-07,"Mr. Musk’s net worth was $188.5 billion at 10:15 a.m. in New York on Thursday, $1.5 billion more than that of Jeff Bezos. Elon Musk has become the world’s richest person, as Tesla’s stock rallies."
5,2021-01-02,"The milestone seemed unreachable just three years ago and comes as Tesla has seen a string of profitable quarters and a buoyant stock. Tesla Says It Hit Goal of Delivering 500,000 Cars in 2020"
6,2021-01-29,The billionaire has inserted himself into the confounding stock market drama and solidified his role as the ultimate insider outsider. Elon Musk Becomes Unlikely Anti-Establishment Hero in GameStop Saga
7,2021-01-29,Every carmaker is trying to figure out how to make the leap before governments force it and Tesla and other start-ups lure away drivers. G.M. Announcement Shakes Up U.S. Automakers’ Transition to Electric Cars
8,2021-01-07," Catch up: Boeing will pay $2.5 billion settlement, and Elon Musk is the richest person."
9,2021-01-25,Is there a statute of limitations on attending “Davos in the Desert”? Wall Street Returns to Riyadh
10,2021-01-27,"John Kerry, President Biden’s special envoy for climate change, urged business leaders on Wednesday to recommit themselves to reducing emissions, promising big profits for those who do so.  John Kerry urges business leaders to invest in green jobs."
11,2021-01-08,He is running out of places to post. The Deplatforming of President Trump
12,2021-01-29,"With government support and lavish subsidies, Chinese companies have come to dominate the market for batteries, motors and other essentials Detroit may need for its new fleets. G.M.’s Electric Car Push Could Put China in the Driver’s Seat"
13,2021-01-04,"Some companies are having trouble surviving and making money installing panels because of intense competition and the high costs of doing business. Home Solar Is Growing, but Big Installers Are Still Losing Money"
14,2021-01-14,"The Purosangue, whose details remain closely held, will be out next year. But the carmaker’s evolving lineup, too, points to a (slightly) more inclusive approach. An S.U.V.? Ferrari Sees the Writing on the Road"
15,2021-01-06,"The venture aims to push climate-friendly businesses into the mainstream. Henry Paulson Returns to Finance, to Run Climate-Focused Fund"
16,2021-01-28,"The move, one of the most ambitious in the auto industry, is a piece of a broader plan by the company to become carbon neutral by 2040. G.M. Will Sell Only Zero-Emission Vehicles by 2035"
17,2021-01-05,"Carmakers say new models should also help lift the industry in 2021, after a 15 percent decline in its slowest year since it recovered from the Great Recession. The Pandemic Sank Auto Sales. Vaccines Could Bring Buyers Back."
18,2021-01-13,Carmakers can’t buy the semiconductors they need because home electronics are taking all the supply. Lack of Tiny Parts Disrupts Auto Factories Worldwide
19,2021-01-26,Larry Fink is using his firm’s huge influence to pressure companies to eliminate greenhouse gas emissions by 2050. BlackRock Chief Pushes a Big New Climate Goal for the Corporate World
20,2021-01-15,"In contrast to previous changes, the tax code could be modified in a way that affects everyone who has something of value to leave to heirs. The Estate Tax May Change Under Biden, Affecting Far More People"
21,2021-01-26,"Lacking a strong domestic battery industry, Britain may be left behind by the shift to electric cars. British Auto Industry Risks Slow Decline After Brexit"
22,2021-01-13,"Brazil says CoronaVac has an efficacy rate just over 50 percent, much lower than previously announced. More than 380 million doses have already been ordered. Disappointing Chinese Vaccine Results Pose Setback for Developing World"
23,2021-01-12,"IBM doesn’t donate to politicians. Perhaps others shouldn’t, either. Getting Corporate Cash Out of Politics"
24,2021-01-27,"GameStop shares have soared 1,700 percent as millions of small investors, egged on by social media, employ a classic Wall Street tactic to put the squeeze — on Wall Street. ‘Dumb Money’ Is on GameStop, and It’s Beating Wall Street at Its Own Game"
